katakana,true_language,predicted_language,correct
タックケース,English,English,True
バーレッスン,English,English,True
カムアウト,English,English,True
モールファブリック,English,English,True
フリートーキング,English,English,True
ブティックホテル,English,English,True
オプションサービス,English,English,True
クチュリエ,French,French,True
ブラマンジェ,French,French,True
ヒンターランド,German,English,False
キュロット,French,French,True
ギロチン,French,German,False
ガールズグループ,English,English,True
デフラグツール,English,French,False
スクリプター,English,English,True
スカラベ,French,French,True
コレクトマニア,English,English,True
シューズボックス,English,English,True
スペリングミス,English,English,True
グルテン,German,German,True
ソースリスト,English,French,False
キックボード,English,English,True
パンリュスティック,French,French,True
レッセフェールレッセパッセ,French,French,True
メスピペット,German,German,True
パティシエ,French,French,True
フリーコール,English,English,True
メルシー,French,English,False
フランコフォニー,French,French,True
ツーバス,English,English,True
インディーズビデオ,English,English,True
カウンターストップ,English,English,True
ラストステージ,English,English,True
スピンターン,English,English,True
シャッターチャンス,English,English,True
バッティングセンター,English,English,True
ランガージュ,French,French,True
セーフティードライバー,English,English,True
ホイールキャップ,English,English,True
ニューヨークダウ,English,English,True
リードオンリーメンバー,English,English,True
スタンディングバー,English,English,True
クリシェ,French,French,True
ビールス,German,English,False
クレーマー,English,French,False
ダブルカフス,English,English,True
コスメフリーク,English,English,True
ジャーポット,English,English,True
トロリンガー,German,English,False
アーベント,German,German,True
ホームドレス,English,English,True
ケミカルリサイクル,English,English,True
カタラーゼ,German,German,True
フリーアルバイター,English,German,False
フレーバーコーヒー,English,English,True
ロスタイム,English,English,True
ハルツ,German,German,True
ウェーデルン,German,German,True
アプリケーションフォーマット,English,English,True
ワットパフォーマンス,English,English,True
シニアカー,English,English,True
コンクリートプレーサー,English,English,True
ホテルヘルス,English,English,True
パピエコレ,French,French,True
サイバーテロ,English,English,True
ステンカラー,French,English,False
デッサン,French,French,True
グループトーク,English,English,True
バレーシューズ,English,English,True
オータムナル,English,English,True
スティックパン,English,English,True
ライブビューイング,English,English,True
ジャンボタクシー,English,English,True
ボリュームゾーン,English,English,True
フリカデル,French,French,True
チクルス,German,German,True
グランプリ,French,French,True
アビタシオン,French,French,True
テルペン,German,German,True
ホスゲン,German,German,True
ノーチップ,English,English,True
ミルクホール,English,French,False
ランチエ,French,French,True
スマイルマーク,English,English,True
ゲルピン,German,German,True
メタモルフォーゼ,German,German,True
システムキッチン,English,English,True
ヘアメイク,English,English,True
イデー,German,English,False
アミューズグール,French,French,True
ポリサージュ,French,French,True
フラワーデザイン,English,German,False
デシネ,French,French,True
ノークラッチ,English,English,True
アミ,French,French,True
オープンカフェ,English,English,True
ガソリンスタンド,English,English,True
アバンゲール,French,French,True
ポンレヴェック,French,English,False
ロールボストン,English,English,True
ルネサンス,French,French,True
タイムセール,English,English,True
バックバンド,English,English,True
ノエル,French,French,True
スメルハラスメント,English,English,True
ディスコテーク,French,English,False
トリュフ,French,French,True
ミルクティー,English,English,True
タイムリープ,English,English,True
キャロット,French,French,True
エージングハラスメント,English,English,True
レクリエーションゲーム,English,English,True
ガイヤルド,French,French,True
マニキュアフィンガー,English,English,True
カルテル,German,German,True
バスケットケース,English,English,True
オフタイム,English,English,True
スコッチテリア,English,English,True
アンパッサン,French,French,True
ピクプールノワール,French,French,True
モーゼル,German,French,False
ヴァルディギエ,French,French,True
コメディカル,English,English,True
リーフパイ,English,English,True
サニタリーボックス,English,English,True
ノイローゼ,German,German,True
パ,French,German,False
フランボワーズ,French,French,True
ステートアマチュア,English,English,True
ダイニングキッチン,English,English,True
マルサンヌ,French,French,True
ベンジン,German,English,False
サブノート,English,English,True
バックギア,English,English,True
ウォルフラム,German,French,False
チェンジレバー,English,English,True
レフェリーストップ,English,English,True
ターザンロープ,English,English,True
グラドル,English,French,False
ハイキングコース,English,English,True
シェイプアップ,English,English,True
ニーハイソックス,English,English,True
トレインジャック,English,English,True
ピノノワール,French,French,True
アイデアプロセッサ,English,English,True
ソルフェージュ,French,French,True
ピストバイク,French,English,False
ノスタルジー,French,French,True
ノンシャラン,French,English,False
コックドール,French,French,True
ボクサーサウンド,English,English,True
グロッケ,German,German,True
キャッシュサービスコーナー,English,English,True
ジオラマ,French,German,False
クーロン,French,French,True
フルコース,English,English,True
アカハラ,English,French,False
オントロギー,German,German,True
ドリンクバー,English,English,True
ルーペ,German,French,False
デコルテ,French,French,True
クリスチャニア,German,German,True
グループリーグ,English,English,True
モーニングセット,English,English,True
ハイウェーカード,English,English,True
ボリューミー,English,English,True
ブーランジェリー,French,French,True
リングアウト,English,English,True
インターネットプロバイダ,English,English,True
インサイドワーク,English,English,True
ゲルト,German,German,True
ヒポコンデリー,German,English,False
デマゴギー,German,German,True
ライトツナ,English,English,True
サブテーマ,English,English,True
チタン,German,German,True
ヘレ,French,French,True
キラーチューン,English,English,True
ソバット,French,French,True
イオン,German,English,False
デスボイス,English,English,True
スイス,French,English,False
フライドポテト,English,English,True
ビターチョコレート,English,English,True
ダストボックス,English,English,True
ロイヤルミルクティー,English,German,False
ルー,French,English,False
プロテーゼ,German,German,True
スープカレー,English,English,True
ネグリジェ,French,French,True
アースコンシャス,English,English,True
アリュエット,French,French,True
プルリング,English,German,False
ランニングマシン,English,English,True
シャルキュトリー,French,French,True
ブラックハッカー,English,English,True
タレント,English,English,True
コロン,French,French,True
オーバーグラス,English,English,True
ラクトアイス,English,English,True
インスタントココア,English,English,True
ルンゲ,German,French,False
ベストエイト,English,English,True
ブラッシュボール,English,English,True
グラウブルグンダー,German,German,True
アンチテーゼ,German,German,True
マジックミラー,English,English,True
クロックマダム,French,French,True
ビスチェ,French,French,True
ライブカメラ,English,English,True
ラテルネ,German,French,False
キャッシュベルト,English,English,True
ムール,French,French,True
パイシート,English,English,True
サバイバルゲーム,English,English,True
ママン,French,French,True
ジャストクロック,English,English,True
ウォーキングマシン,English,English,True
フォックスフェイス,English,English,True
ギフトボックス,English,English,True
ブラックチョコレート,English,English,True
パジャマコール,English,French,False
シェフ,French,French,True
レペルトワール,French,French,True
サバット,French,English,False
ピノグリ,French,French,True
マリネ,French,French,True
エンディングノート,English,English,True
ムールヴェードル,French,French,True
レイパー,English,English,True
ユーフォーキャッチャー,English,English,True
ヘクタール,French,French,True
マカベウ,French,English,False
カイトグラフィー,English,German,False
ミンチボール,English,English,True
ワンコインバス,English,English,True
アンドゥイユ,French,French,True
ランウェイショー,English,English,True
マカロニグラタン,French,French,True
マクラメ,French,French,True
ビバーク,French,English,False
ファンスキー,English,English,True
リュージュ,French,French,True
ヒールアウト,English,English,True
オムニバスアルバム,English,French,False
バール,English,French,False
ウエス,English,English,True
ランディングバーン,English,English,True
ヴルスト,German,German,True
ナヴァラン,French,French,True
ボクサーパンツ,English,English,True
ブリオッシュ,French,French,True
オートマティスム,French,French,True
ドライブマップ,English,English,True
クレオール,French,French,True
サーベルタイガー,English,English,True
カモフラージュ,French,French,True
ラポール,French,French,True
プロージット,German,English,False
ルームランナー,English,English,True
ラブドール,English,English,True
センターオーバー,English,English,True
ゲームセット,English,English,True
ノワゼット,French,French,True
アンチノミー,German,French,False
ルージュ,French,French,True
デートコース,English,English,True
シュヴァルツリースリング,German,German,True
ナポリタン,French,German,False
モバイラー,English,English,True
バイリンギャル,English,English,True
カラーギャング,English,English,True
ローレグ,English,English,True
ジャパニーズスマイル,English,English,True
ツベルクリン,German,German,True
コンビニスト,English,English,True
アスピーテ,German,French,False
カーマニア,English,English,True
モニターツアー,English,English,True
プチフール,French,French,True
テーマパーク,German,German,True
トロンプルイユ,French,English,False
デザインナイフ,English,English,True
サムチェック,English,English,True
テーゼ,German,German,True
スリーカード,English,English,True
ワンプレート,English,English,True
ルーフバルコニー,English,English,True
メジャーデビュー,English,English,True
フルコミット,English,English,True
ホームクラス,English,English,True
アップダウン,English,English,True
アントロポロギー,German,French,False
カルチャーセンター,English,English,True
シミュルタネイスム,French,French,True
インテル,English,English,True
アンダースロー,English,English,True
アウトポケット,English,English,True
マルベック,French,French,True
リンクコーデ,English,English,True
エンゲージブルー,English,English,True
フランベ,French,French,True
モバイルノート,English,English,True
マッチングアプリ,English,English,True
アーモンドプードル,French,French,True
アパッシュ,French,French,True
ステップメール,English,English,True
インテリアバール,English,English,True
コインロッカーベイビー,English,English,True
リレーコラム,English,English,True
ツッカー,German,English,False
ネットメディア,English,English,True
カードローン,English,English,True
シャッセ,French,French,True
パンチドランク,English,English,True
マンツーマンレッスン,English,French,False
ホリゾント,German,English,False
デマゴーグ,German,French,False
エバチップ,English,English,True
セキュリティポリス,English,English,True
ナイスオン,English,English,True
ネットワークビジネス,English,English,True
バルカローレ,German,French,False
ランデブー,French,French,True
シャンソニエ,French,French,True
クリュ,French,French,True
エコファーマー,English,English,True
バックドロップ,English,English,True
オナホール,English,German,False
ポテトフライ,English,English,True
クロッケー,French,French,True
グルメ,French,French,True
エポワス,French,German,False
ツーブロック,English,English,True
ジェマイユ,French,French,True
リバプールサウンド,English,English,True
ヒットアンドアウェイ,English,English,True
フロマージュ,French,French,True
ダークヒーロー,English,English,True
ノータイ,English,English,True
バットマン,French,English,False
スピッツ,German,English,False
ライスワーク,English,English,True
キックベースボール,English,English,True
ウムラウト,German,German,True
ウエストポーチ,English,English,True
ガンエフェクト,English,German,False
オープンバス,English,English,True
ナビダイヤル,English,English,True
ボイスドラマ,English,English,True
ラウンダー,English,German,False
ドラフトチャンバー,English,English,True
セカンドライフ,English,English,True
アジト,English,German,False
アームライト,English,English,True
ランクイン,English,English,True
モーニングサービス,English,English,True
カンフーバット,English,English,True
ベランピング,English,English,True
アイロンビーズ,English,English,True
ワゴンモール,English,English,True
グリーンカール,English,English,True
ディーラーダッシュ,English,English,True
マイページ,English,English,True
コラージュ,French,French,True
カルク,English,German,False
レストランハウス,English,English,True
フルベース,English,English,True
アンテナショップ,English,English,True
アンジッヒ,German,French,False
エクリチュール,French,French,True
エコポイント,English,English,True
ループトレード,English,English,True
アイリスト,English,English,True
ミゼール,French,French,True
シュトゥルーデル,German,German,True
エタン,German,French,False
ミルクキャラメル,English,French,False
マネーリテラシー,English,English,True
ノン,French,English,False
プロレタリア,German,German,True
エチケットガム,English,French,False
クーポン,French,French,True
ジャストサイズ,English,English,True
トップセールス,English,English,True
メリケン,English,German,False
オプションメニュー,English,English,True
スペシャルプライス,English,English,True
エイジングケア,English,English,True
フォン,French,French,True
ルームランプ,English,English,True
エタノール,German,German,True
プレスコート,English,English,True
オードビ,French,French,True
メティス,French,French,True
テンキーロック,English,English,True
タトゥーシール,English,English,True
クイックモーション,English,English,True
ケルン,German,German,True
ステップル,English,English,True
プロバイダ,English,English,True
ショコラティーヌ,French,French,True
タンブール,French,French,True
データホルダー,English,English,True
マンション,English,English,True
オールバック,English,English,True
シャモア,French,French,True
ルーンラート,German,German,True
ノマドワーカー,English,English,True
スモークハラスメント,English,English,True
ミスターレディー,English,English,True
モノルビ,English,English,True
オーエス,French,English,False
ワインビーフ,English,English,True
ロングタップ,English,English,True
コーヒーサイフォン,English,English,True
ジロール,French,German,False
シャーデンフロイデ,German,German,True
シリコーンゴム,English,English,True
スキップフロア,English,English,True
フラン,French,French,True
ブルーボーイ,English,English,True
フィニッシュパウダー,English,English,True
フリーバッティング,English,English,True
インナーカラー,English,English,True
ジャメヴュ,French,French,True
ドイチュラント,German,English,False
マルターゼ,German,German,True
アイキャッチ,English,English,True
リゾラバ,English,English,True
マルチプレイ,English,English,True
フォルブランシュ,French,French,True
ロンド,French,English,False
ドアポスト,English,English,True
フォトスタンド,English,English,True
カトルカール,French,German,False
シルバーエイジ,English,English,True
アイメイト,English,English,True
キャッチコピー,English,English,True
ガーゼ,German,German,True
チョーキング,English,English,True
ピザハウス,English,English,True
ペットロボット,English,English,True
ユンボ,French,French,True
マイボール,English,English,True
ヌーベル,French,French,True
モノポール,German,English,False
ショーソンオポム,French,French,True
キャリアママ,English,English,True
ヴァリエテ,French,French,True
デギュスタシオン,French,French,True
ベビーゴルフ,English,English,True
タクトタイム,English,German,False
メールニュース,English,English,True
フルコンプ,English,English,True
タプナード,French,French,True
キラーパルス,English,English,True
イロニー,French,French,True
サードシート,English,English,True
グルナッシュノワール,French,French,True
アブサン,French,French,True
シニフィエ,French,French,True
フリーアナウンサー,English,English,True
アイスバー,English,English,True
ラッタル,German,German,True
パーキングドライバー,English,English,True
リキュール,French,French,True
ブラウザバック,English,German,False
サイクルキャップ,English,English,True
ルンペン,German,German,True
ミモレ,French,French,True
カフェイン,German,English,False
アラモード,French,French,True
パタンナー,English,English,True
カウチソファ,English,English,True
イメージトレーニング,English,English,True
ネットストーキング,English,English,True
ペタンク,French,German,False
アンプル,French,French,True
バナナジュース,English,English,True
モンキーバナナ,English,English,True
フリカデレ,German,French,False
マスト,English,English,True
マイハウス,English,German,False
ポストペイド,English,English,True
イマージュ,French,French,True
シフトチェンジ,English,English,True
パーリナイ,English,English,True
リテールファイナンス,English,English,True
ジレ,French,French,True
ラブロマンス,English,English,True
サイキッカー,English,English,True
バックマージン,English,English,True
ハイマート,German,English,False
プラスオン,English,English,True
ノーミス,English,English,True
ミンネゼンガー,German,German,True
ボーゲン,German,German,True
ジンテーゼ,German,German,True
サイドミラー,English,English,True
ペアガラス,English,English,True
ワンナイトラブ,English,English,True
ランタン,German,French,False
メタフォール,French,French,True
エギーユ,French,French,True
プレパパ,English,German,False
カメ,English,French,False
ハイライトシーン,English,English,True
アダルトゲーム,English,English,True
ビーチクラフト,English,English,True
コニーデ,German,French,False
カンテ,German,French,False
セミロング,English,English,True
キッズカフェ,English,English,True
ゴーイングマイウェイ,English,English,True
アクリルスタンド,English,German,False
ドアビュー,English,English,True
ゲバルト,German,German,True
ウラン,German,French,False
フォローパン,English,English,True
ヌーボー,French,French,True
キネコ,English,English,True
ヨーデル,German,German,True
フロアスタンド,English,English,True
デリヘル,English,German,False
アンチテアトル,French,French,True
シーチキン,English,English,True
ポジショントーク,English,English,True
シューズインクローク,English,English,True
コロナショック,English,English,True
クリームサンデー,English,English,True
キャラバンシューズ,English,English,True
ファムファタール,French,French,True
コキュ,French,French,True
シェーブル,French,French,True
アミラーゼ,German,German,True
エンジンキー,English,English,True
フォーヴィスム,French,French,True
ノルマル,German,English,False
ニューハーフ,English,English,True
エスカベーシュ,French,French,True
オリンピック,English,English,True
ワンタッチ,English,English,True
アムール,French,French,True
フレンチタートル,English,English,True
ロケットスタート,English,English,True
バタール,French,French,True
ダークチェンジ,English,English,True
サインブック,English,English,True
オネトーム,French,English,False
プロダクトアウト,English,English,True
ゲームシステム,English,English,True
ピンズ,English,English,True
シュリンゲ,German,French,False
ベッドタウン,English,English,True
サンチマン,French,French,True
キャンプイン,English,English,True
アプフェルシュトルーデル,German,German,True
ハイラート,German,German,True
ディスコ,French,English,False
ベリーセット,English,English,True
サンクチュール,French,French,True
サンローラン,French,French,True
クレームアングレーズ,French,French,True
ハウスメーカー,English,English,True
ゲームクリエイター,English,English,True
キャロットラペ,French,French,True
デブリ,French,French,True
ネットユーザー,English,English,True
ポップヒント,English,English,True
フリュートアベック,French,English,False
サービスタイム,English,English,True
グローカル,English,English,True
ハーケンクロイツ,German,German,True
セルモーター,English,English,True
ベアトップ,English,English,True
オーダースーツ,English,English,True
パークセンター,English,English,True
ゲームメーカー,English,English,True
ホッピング,English,English,True
テンキー,English,English,True
ボールカウント,English,English,True
ムーディー,English,English,True
ボディメイク,English,English,True
シャウカステン,German,German,True
ハイビジョン,English,English,True
ジッグ,French,German,False
スリーサイズ,English,English,True
キッズスペース,English,English,True
パンツルック,English,English,True
ノンフライ,English,English,True
メトロ,French,German,False
ベビーキープ,English,English,True
ケーキカット,English,English,True
バーゼ,German,German,True
スキットル,English,English,True
スリップダウン,English,English,True
ノンポリ,English,English,True
クラスマッチ,English,English,True
ネイティブチェック,English,English,True
フラマン,French,French,True
キログラム,French,French,True
ファンタジック,English,English,True
ハイテンション,English,English,True
ワゴンセール,English,English,True
ニューオープン,English,English,True
バーゲンブック,English,English,True
ビジュー,French,English,False
オーバースロー,English,English,True
ルサンチマン,French,French,True
フリューゲルホルン,German,German,True
グランドメニュー,English,English,True
インポテンツ,German,German,True
ブール,French,French,True
コンメンタール,German,German,True
ロマンスシート,English,English,True
モルデント,German,German,True
ケースアース,English,English,True
カシュクール,French,French,True
ベビーベッド,English,English,True
マルチプレイヤー,English,English,True
ラブラブ,English,English,True
バックチャージ,English,English,True
アイスバイン,German,English,False
トラバーユ,French,French,True
オフラインミーティング,English,English,True
イルミネート,English,English,True
ベビーオール,English,English,True
プンパニッケル,German,German,True
ファランドール,French,English,False
ハイペース,English,English,True
ペンポーチ,English,English,True
チケットショップ,English,English,True
スノーノイズ,English,English,True
ロゴマーク,English,English,True
ラインロビング,English,English,True
サイドテール,English,English,True
ベリースペシャルワンパターン,English,English,True
ゲートル,French,French,True
トップレディー,English,English,True
サブレ,French,English,False
ハーフパンツ,English,English,True
ヴァイサーブルグンダー,German,German,True
リゾートハウス,English,English,True
モーニングコール,English,English,True
レストランシアター,English,English,True
セディーユ,French,French,True
スーパーアンビュランス,English,English,True
チェキ,English,English,True
キャッシングサービス,English,English,True
メタボゾーン,English,English,True
ダウンジャケット,English,English,True
フロラシオン,English,French,False
ビシソワーズ,French,French,True
コケット,French,French,True
ノックバット,English,English,True
モンタージュ,French,French,True
ポリタンク,English,English,True
デリバリーヘルス,English,English,True
ガランティーヌ,French,French,True
アナスチグマート,German,English,False
ヴィラージュ,French,French,True
ガイスト,German,German,True
バス,German,English,False
マシンガントーク,English,English,True
ワイプイン,English,English,True
プレミアムフライデー,English,English,True
アイススマック,English,English,True
システムバス,English,English,True
アビトゥア,German,French,False
ジャンル,French,French,True
ダウンロードコンテンツ,English,English,True
ナルシス,French,French,True
サラリーマン,English,English,True
ノーノー,English,English,True
ラガーマン,English,English,True
イケール,French,French,True
マスタースクリーン,English,English,True
ヒレ,French,French,True
アンファンテリブル,French,French,True
ビデオパッケージ,English,English,True
マッチポンプ,English,English,True
コーポラス,English,English,True
ワークチェア,English,English,True
アットホーム,English,English,True
ミニアルバム,English,English,True
トレビアン,French,French,True
コンシューマリング,English,English,True
ケロイド,German,German,True
ポリエチレン,German,German,True
アンシャンレジーム,French,French,True
セルフアップネジ,English,English,True
ノーシード,English,English,True
グラッシ,French,English,False
ビジュアリスト,English,English,True
ベジブロス,English,English,True
ドレスアップ,English,English,True
パトランプ,English,English,True
イヤーモニター,English,English,True
アナフィラキシー,German,English,False
バイプレーヤー,English,English,True
グリューワイン,German,French,False
バカロレア,French,French,True
ロリータファッション,English,English,True
ネベ,French,French,True
マイヨジョーヌ,French,French,True
フードル,French,French,True
ラジオペンチ,English,English,True
マットコート,English,English,True
メモワール,French,French,True
ドアボーイ,English,English,True
グラウンドゴルフ,English,English,True
パンジャービードレス,English,English,True
リニューアルオープン,English,English,True
コーヒー,English,English,True
ワンボックス,English,English,True
ローブデコルテ,French,French,True
オープンテラス,English,English,True
データチェック,English,English,True
プリメインアンプ,English,English,True
シーズンオープン,English,English,True
ユーザーライク,English,English,True
シネマトグラフ,French,French,True
ムック,English,French,False
ユーモレスク,French,English,False
アイオリソース,English,French,False
マイレージサービス,English,English,True
ブッシュドノエル,French,French,True
ティザーヌ,French,French,True
グルナッシュ,French,French,True
ノーネクタイ,English,English,True
アメニティグッズ,English,English,True
ワッフルメーカー,English,English,True
バルコン,French,German,False
ローソファ,English,English,True
コロリスト,French,French,True
ウェブストア,English,English,True
アンダースキル,English,English,True
アクセスランキング,English,English,True
ソムリエ,French,French,True
メッセ,German,French,False
シンデレラボーイ,English,English,True
メイクボックス,English,English,True
シュプレヒコール,German,German,True
ウッドショック,English,English,True
レーゼドラマ,German,German,True
ネットゲーム,English,English,True
グルテンミート,English,English,True
パラボラアンテナ,English,French,False
サッツ,German,English,False
ブリーチーズ,French,French,True
スモークガラス,English,English,True
メガクラスター,English,English,True
エンゼルメイク,English,English,True
コロッケ,French,French,True
ラインオフ,English,English,True
ナチュラルメイクアップ,English,English,True
クラッチミート,English,English,True
オリーブ,French,English,False
アドミッションオフィス,English,English,True
シンポジスト,English,English,True
テンキーパッド,English,English,True
ビニールクロス,English,English,True
バックスクリーン,English,English,True
ベビーチェア,English,English,True
ロックミシン,English,English,True
クロールカルキ,German,German,True
シニョン,French,French,True
クノワーズ,French,French,True
ツールドフランス,French,English,False
ミックスジュース,English,English,True
マイナーバージョンアップ,English,English,True
ビンディング,German,English,False
バージンオイル,English,English,True
テレハーフ,English,English,True
ティー・ピー・オー,English,English,True
キャリアメール,English,English,True
モンスターペアレント,English,English,True
ノーストレス,English,English,True
ライフデザイン,English,English,True
チャレンジド,English,English,True
ギャラリートーク,English,English,True
ワクチンソフト,English,English,True
ラストイン,English,English,True
バライタ,English,French,False
アノニマスファッション,English,English,True
スプリングコート,English,English,True
キャッチバー,English,English,True
ハードスケジュール,English,French,False
ポシェット,French,French,True
シャペロン,French,French,True
パワーハラスメント,English,English,True
クランクアップ,English,English,True
パンフォーカス,English,English,True
パスコン,English,English,True
デュナーミク,German,French,False
オーケストラボックス,English,English,True
サイクルヒット,English,English,True
アプザイレン,German,German,True
プリン,English,German,False
テクノミスト,English,English,True
カブリオレ,French,French,True
